Sample_Id,system.number,system,protein.name
ERR2663472,1,PDC-S04,PDC-S04
,2,PDC-S05,PDC-S05
,3,RM_type_III,REase_III
,3,RM_type_III,MTase_III
,4,3HP,Hp1
,4,3HP,Hp2
,4,3HP,Hp3
,5,PDC-M03,PDC-M03B
,5,PDC-M03,PDC-M03A
,7,RM_type_III,REase_III
,7,RM_type_III,MTase_III
,8,VSPR,MTase_II
,8,VSPR,Vsr
,6,PDC-S12,PDC-S12
,9,PDC-S07,PDC-S07
,10,PD-T4-6,PD-T4-6
,14,druantia_type_III,DruE3
,14,druantia_type_III,DruE3
,14,druantia_type_III,DruH3
,11,RM_type_HNH,HNH
,12,RM_type_I,Specificity_I
,12,RM_type_I,MTase_I
,12,RM_type_I,REase_I
,13,RM_type_IV,mREase_IV
,15,PDC-S02,PDC-S02
,16,cas_type_I-E,Cas3e
,16,cas_type_I-E,Cas8e
,16,cas_type_I-E,Cas11e
,16,cas_type_I-E,Cas7e
,16,cas_type_I-E,Cas5e
,16,cas_type_I-E,Cas6e
,16,cas_type_I-E,Cas1e
,16,cas_type_I-E,Cas2e
,17,DMS_other,DndB
,17,DMS_other,oMTase
,18,PDC-S07,PDC-S07
ERR2663511,2,VSPR,MTase_II
,2,VSPR,Vsr
,1,PDC-S12,PDC-S12
,3,RM_type_III,MTase_III
,3,RM_type_III,REase_III
,4,3HP,Hp3
,4,3HP,Hp2
,4,3HP,Hp1
,5,PDC-M03,PDC-M03B
,5,PDC-M03,PDC-M03A
,7,PDC-S05,PDC-S05
,6,PDC-S04,PDC-S04
,8,PD-T4-6,PD-T4-6
,9,PDC-S07,PDC-S07
,10,PDC-S02,PDC-S02
,11,cas_type_I-E,Cas3e
,11,cas_type_I-E,Cas8e
,11,cas_type_I-E,Cas11e
,11,cas_type_I-E,Cas7e
,11,cas_type_I-E,Cas5e
,11,cas_type_I-E,Cas6e
,11,cas_type_I-E,Cas1e
,11,cas_type_I-E,Cas2e
,12,DMS_other,DndB
,12,DMS_other,oMTase
,13,PDC-S07,PDC-S07
,17,druantia_type_III,DruE3
,17,druantia_type_III,DruE3
,17,druantia_type_III,DruH3
,14,RM_type_HNH,HNH
,15,RM_type_I,Specificity_I
,15,RM_type_I,MTase_I
,15,RM_type_I,REase_I
,16,RM_type_IV,mREase_IV
ERR2663515,2,VSPR,MTase_II
,2,VSPR,Vsr
,1,PDC-S12,PDC-S12
,3,RM_type_III,REase_III
,3,RM_type_III,MTase_III
,4,3HP,Hp1
,4,3HP,Hp2
,4,3HP,Hp3
,5,PDC-M03,PDC-M03A
,5,PDC-M03,PDC-M03B
,6,PDC-S04,PDC-S04
,7,PDC-S05,PDC-S05
,8,PDC-S07,PDC-S07
,9,PD-T4-6,PD-T4-6
,13,druantia_type_III,DruE3
,13,druantia_type_III,DruE3
,13,druantia_type_III,DruH3
,10,RM_type_HNH,HNH
,11,RM_type_I,Specificity_I
,11,RM_type_I,MTase_I
,11,RM_type_I,REase_I
,12,RM_type_IV,mREase_IV
,14,PDC-S02,PDC-S02
,16,RM_type_I,REase_I
,15,Menshen,NsnC
,15,Menshen,NsnB
,15,Menshen,NsnA
,16,RM_type_I,Specificity_I
,16,RM_type_I,MTase_I
,17,cas_type_I-E,Cas3e
,17,cas_type_I-E,Cas8e
,17,cas_type_I-E,Cas11e
,17,cas_type_I-E,Cas7e
,17,cas_type_I-E,Cas5e
,17,cas_type_I-E,Cas6e
,17,cas_type_I-E,Cas1e
,17,cas_type_I-E,Cas2e
,18,DMS_other,oMTase
,18,DMS_other,DndB
,19,PDC-S07,PDC-S07
