Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR17068325,2022-12-12 00:01:10,2021-11-29 19:09:44,1939,2892980,0,1491,1,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR017/17068/SRR17068325/SRR17068325.1,SRX13257006,D102,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP348487,PRJNA741708,,741708,SRS11179730,SAMN23486187,simple,1774142,human eye metagenome,D102,,,,,,,no,,,,,CHINA CDC,SRA1336454,,public,0A3DBFE4C1E3229AB13D5351C2098409,482EB50B49BFF197141A100B67255687
SRR17068341,2022-12-12 00:01:09,2021-11-29 19:09:53,3271,4887317,0,1494,1,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR017/17068/SRR17068341/SRR17068341.1,SRX13256990,D107,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP348487,PRJNA741708,,741708,SRS11179714,SAMN23486174,simple,1774142,human eye metagenome,D107,,,,,,,no,,,,,CHINA CDC,SRA1336454,,public,C33D4BC3FB6E871EB6007834F13365E0,01C834B391BB8E28BDD842667C454DB9
SRR17068353,2022-12-12 00:01:09,2021-11-29 19:10:07,9964,14635737,0,1468,5,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR017/17068/SRR17068353/SRR17068353.1,SRX13256978,D115,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP348487,PRJNA741708,,741708,SRS11179703,SAMN23486163,simple,1774142,human eye metagenome,D115,,,,,,,no,,,,,CHINA CDC,SRA1336454,,public,DFEBD024CCEF9BA329074A9D2C4448F9,5AC595158401CC4DF307DD5F6E02E666
SRR17068336,2022-12-12 00:01:10,2021-11-29 19:10:11,13937,20859665,0,1496,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR017/17068/SRR17068336/SRR17068336.1,SRX13256995,D118,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP348487,PRJNA741708,,741708,SRS11179719,SAMN23486178,simple,1774142,human eye metagenome,D118,,,,,,,no,,,,,CHINA CDC,SRA1336454,,public,0A92557075ACB182575979B93306663A,0C54AFA655BDA649786FA5FD6C550C0B
SRR17068294,2022-12-12 00:01:10,2021-11-29 19:09:35,12414,18501313,0,1490,7,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR017/17068/SRR17068294/SRR17068294.1,SRX13257037,D123,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP348487,PRJNA741708,,741708,SRS11179760,SAMN23486063,simple,1774142,human eye metagenome,D123,,,,,,,no,,,,,CHINA CDC,SRA1336454,,public,95155ACFD99E9BEFED1866D0448624BC,CC9EFBCBEE6684A4358B022B36F078DE
SRR17068333,2022-12-12 00:01:10,2021-11-29 19:09:53,3369,4952541,0,1470,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR017/17068/SRR17068333/SRR17068333.1,SRX13256998,D129,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP348487,PRJNA741708,,741708,SRS11179722,SAMN23486180,simple,1774142,human eye metagenome,D129,,,,,,,no,,,,,CHINA CDC,SRA1336454,,public,75C52B60A8A1AE283A6B6FAEC79109EE,D73D7E6BADA449A186FFFC34114F7824
SRR17068342,2022-12-12 00:01:09,2021-11-29 19:10:00,7877,11875964,0,1507,4,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR017/17068/SRR17068342/SRR17068342.1,SRX13256989,D137,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP348487,PRJNA741708,,741708,SRS11179712,SAMN23486173,simple,1774142,human eye metagenome,D137,,,,,,,no,,,,,CHINA CDC,SRA1336454,,public,BC88BECE56B71B8B75B91C96B9D6771B,6D5A152684A81333ED3E5A8E0EA8E523
SRR17068346,2022-12-12 00:01:09,2021-11-29 19:10:23,21171,31636330,0,1494,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR017/17068/SRR17068346/SRR17068346.1,SRX13256985,D15,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP348487,PRJNA741708,,741708,SRS11179709,SAMN23486169,simple,1774142,human eye metagenome,D15,,,,,,,no,,,,,CHINA CDC,SRA1336454,,public,11F5B759563CDD5DB61D2EA68C1772CC,BB5F3A19F67D9E62E9085E5EF5B64700
SRR17068312,2022-12-12 00:01:10,2021-11-29 19:10:16,19760,29496396,0,1492,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR017/17068/SRR17068312/SRR17068312.1,SRX13257019,D16,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP348487,PRJNA741708,,741708,SRS11179742,SAMN23486199,simple,1774142,human eye metagenome,D16,,,,,,,no,,,,,CHINA CDC,SRA1336454,,public,E440EDB8EA9DEDE34EF12287C36AAB79,E9933589B3741DBE3FFFAEF7A7C45495
SRR17068328,2022-12-12 00:01:10,2021-11-29 19:09:59,8086,12052416,0,1490,5,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR017/17068/SRR17068328/SRR17068328.1,SRX13257003,D19,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel,SRP348487,PRJNA741708,,741708,SRS11179726,SAMN23486185,simple,1774142,human eye metagenome,D19,,,,,,,no,,,,,CHINA CDC,SRA1336454,,public,3D0CBEF3970A7ACCFA1B397CE134D05A,49B70172D2E190213EA3A0977C84549B
