Sequence ID,Specimen ID,Barcodes
STY_0208,12204011221,
STY_0202,12204018551,
STY_0203,12204024381,
STY_0209,12203038781,
,,
,,
,,
,,
STY_0204,22204009811,
STY_0205,22204000301,
STY_0201,22204011301,
STY_0182,12208000411,
STY_0183,12208013882,
STY_0173,12208021821,
STY_0174,12208027701,
STY_0175,22208006861,
STY_0176,22208010171,
STY_0177,22207015931,
STY_0179,12208018382,
STY_0145,12212002541,
STY_0146,12212003772,
STY_0135,12212012551,
STY_0136,12212021621,
,,
,,
,,
,,
STY_0140,22212006101,
STY_0141,22212004521,
STY_0142,22212008151,
STY_0133,22212011611,
STY_0214,12202030871,
,,
STY_0210,22202004521,
STY_0215,22202001981,
STY_0213,12201020511,
,,
STY_0216,22201000401,
STY_0217,22112008251,
STY_0218,12201003551,
,12207013851,
STY_0180,12207020461,
STY_0181,12207023131,
,,
STY_0184,22207010811,
STY_0185,22207013191,
STY_0186,22207013561,
STY_0238,12206003452,
STY_0239,12206006202,
STY_0187,12206022991,
,,
,,
,,
,,
,,
,,
STY_0188,22206006541,
STY_0189,22206012231,
STY_0190,22206011781,
STY_0191,22206014041,
STY_0192,22206011121,
STY_0193,12206022731,
STY_0206,12203000771,
STY_0207,12203017861,
STY_0211,22203006141,
STY_0212,22203007991,
STY_0194,12205007081,
STY_0195,12205008381,
STY_0237,12205033232,
STY_0196,12205014971,
STY_0197,12205022561,
,,
,,
,,
,,
STY_0198,12205011912,
STY_0199,22205003071,
STY_0200,22205000361,
STY_0240,22205008601,
STY_0241,22205011321,
STY_0157,12211013761,
STY_0158,12211013691,
STY_0159,12211011701,
STY_0160,12211013182,
STY_0148,12211021492,
STY_0144,12211033041,
,12211036001,
,,
,,
,,
,,
,,
,,
STY_0143,12211029191,
STY_0150,22211001491,
STY_0151,22211003541,
STY_0152,22211007211,
STY_0147,22211010601,
STY_0153,22211003751,
STY_0154,22211007151,
STY_0161,12210000693,
STY_0162,12210010141,
STY_0155,12210022541,
STY_0156,12210028962,
,,
,,
,,
,,
,,
STY_0164,22210001871,
STY_0167,22210006211,
STY_0149,22210020121,
STY_0165,22210002281,
STY_0168,12210002051,
STY_0169,12209022262,
STY_0170,12209026651,
,,
,,
,,
STY_0163,22209013081,
STY_0166,22209012771,
STY_0171,22209006031,
STY_0178,12208037562,
STY_0172,12209025171,
