system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
2,1,VSPR,1_254,PDLC03361,MTase_II_00147,MTase_II,2.499999999999999e-248,2.699999999999999e-248,0.994,0.996,264162,265592,+,-,254,468,"PDLC03361,MTase_II_00147, 1, 2.7e-248, 0.994, 0.996 | PDLC03343,MTase_II_00129, 1, 3.9e-09, 0.432, 0.368 | PDLC03343,MTase_II_00129, 2, 410, 0.09, 0.082 | PDLC03231,MTase_II_00017, 1, 5.2e-08, 0.415, 0.406 | PDLC03231,MTase_II_00017, 2, 0.91, 0.099, 0.086 | PDLC03243,MTase_II_00029, 1, 3e-18, 0.421, 0.448 | PDLC03243,MTase_II_00029, 2, 9.7e-05, 0.126, 0.151 | PDLC03272,MTase_II_00058, 1, 3.8e-90, 0.795, 0.803 | PDLC03254,MTase_II_00040, 1, 4.4e-10, 0.346, 0.362 | PDLC03254,MTase_II_00040, 2, 1100, 0.09, 0.109 | PDLC03329,MTase_II_00115, 1, 3.8e-19, 0.428, 0.452 | PDLC03329,MTase_II_00115, 2, 7.2e-05, 0.306, 0.334 | PDLC03324,MTase_II_00110, 1, 3e-10, 0.403, 0.387 | PDLC03324,MTase_II_00110, 2, 450, 0.09, 0.115 | PDLC03381,MTase_II_00167, 1, 5.1e-08, 0.411, 0.434 | PDLC03381,MTase_II_00167, 2, 68, 0.113, 0.126 | PDLC03223,MTase_II_00009, 1, 7.3e-08, 0.419, 0.443 | PDLC03304,MTase_II_00090, 1, 3.1e-07, 0.417, 0.405 | PDLC03304,MTase_II_00090, 2, 0.037, 0.113, 0.127 | PDLC03220,MTase_II_00006, 1, 1.5e-24, 0.405, 0.322 | PDLC03220,MTase_II_00006, 2, 0.057, 0.094, 0.08 | PDLC03270,MTase_II_00056, 1, 3.2e-17, 0.411, 0.515 | PDLC03270,MTase_II_00056, 2, 150, 0.055, 0.372 | PDLC03217,MTase_II_00003, 1, 7.6e-08, 0.088, 0.06 | PDLC03217,MTase_II_00003, 2, 2.6e-25, 0.258, 0.151 | PDLC03217,MTase_II_00003, 3, 2.4e-07, 0.099, 0.061 | PDLC03330,MTase_II_00116, 1, 1.2e-21, 0.755, 0.744 | PDLC03237,MTase_II_00023, 1, 6.1e-24, 0.423, 0.173 | PDLC03237,MTase_II_00023, 2, 5.9, 0.107, 0.045 | PDLC03286,MTase_II_00072, 1, 940, 0.052, 0.141 | PDLC03286,MTase_II_00072, 2, 6.1e-32, 0.417, 0.914 | PDLC03269,MTase_II_00055, 1, 1.7e-27, 0.44, 0.396 | PDLC03269,MTase_II_00055, 2, 0.00019, 0.187, 0.195 | PDLC03355,MTase_II_00141, 1, 2.8e-13, 0.415, 0.485 | PDLC03355,MTase_II_00141, 2, 31, 0.103, 0.125 | PDLC03368,MTase_II_00154, 1, 1.4e-06, 0.428, 0.452 | PDLC03378,MTase_II_00164, 1, 2e-48, 0.771, 0.953 | PDLC03384,MTase_II_00170, 1, 4.5e-07, 0.426, 0.472 | PDLC03232,MTase_II_00018, 1, 0.0041, 0.09, 0.095 | PDLC03232,MTase_II_00018, 2, 2.8e-15, 0.256, 0.256 | PDLC03232,MTase_II_00018, 3, 0.0074, 0.107, 0.101 | PDLC03326,MTase_II_00112, 1, 9.9e-28, 0.421, 0.422 | PDLC03326,MTase_II_00112, 2, 5.1e-06, 0.111, 0.119 | PDLC03242,MTase_II_00028, 1, 5.1e-43, 0.436, 0.413 | PDLC03242,MTase_II_00028, 2, 1e-08, 0.101, 0.108 | PDLC03388,MTase_II_00174, 1, 3.2e-09, 0.283, 0.328 | PDLC03388,MTase_II_00174, 2, 1e-08, 0.109, 0.144 | PDLC03279,MTase_II_00065, 1, 3.8e-10, 0.417, 0.291 | PDLC03279,MTase_II_00065, 2, 35, 0.103, 0.077 | PDLC03234,MTase_II_00020, 1, 6.9e-32, 0.428, 0.469 | PDLC03234,MTase_II_00020, 2, 0.001, 0.117, 0.139 | PDLC03225,MTase_II_00011, 1, 1.8e-13, 0.308, 0.221 | PDLC03225,MTase_II_00011, 2, 4, 0.036, 0.028 | PDLC03225,MTase_II_00011, 3, 0.48, 0.094, 0.065 | PDLC03307,MTase_II_00093, 1, 3.6e-16, 0.327, 0.332 | PDLC03307,MTase_II_00093, 2, 0.17, 0.048, 0.06 | PDLC03307,MTase_II_00093, 3, 0.015, 0.172, 0.199","PDLC03361, MTase_II_00147, 2.7e-248, 0.994, 0.996 | PDLC03272, MTase_II_00058, 3.8e-90, 0.795, 0.803 | PDLC03378, MTase_II_00164, 2e-48, 0.771, 0.953 | PDLC03242, MTase_II_00028, 5.1e-43, 0.436, 0.413 | PDLC03286, MTase_II_00072, 6.1e-32, 0.417, 0.914"
2,1,VSPR,1_255,PDLC03397,NEase_II_00006,Vsr,1.6e-97,1.7999999999999997e-97,0.987,0.994,265573,266043,+,-,255,468,"PDLC03397,NEase_II_00006, 1, 1.8e-97, 0.987, 0.994","PDLC03397, NEase_II_00006, 1.8e-97, 0.987, 0.994"
1,1,PDC-S12,1_304,PDLC04917,PDC-S12_WP_034891581.1,PDC-S12,3.599999999999999e-106,3.999999999999999e-106,0.991,0.995,306938,307603,+,-,304,468,"PDLC04917,PDC-S12_WP_034891581.1, 1, 4e-106, 0.991, 0.995","PDLC04917, PDC-S12_WP_034891581.1, 4e-106, 0.991, 0.995"
3,12,RM_type_III,12_43,PDLC03649,REase_III_00003,REase_III,0,0,0.99,0.776,46272,48677,-,-,43,146,"PDLC03647,REase_III_00001, 1, 1.1e-05, 0.117, 0.077 | PDLC03647,REase_III_00001, 2, 3e-41, 0.746, 0.593 | PDLC03650,REase_III_00004, 1, 6.8, 0.045, 0.039 | PDLC03650,REase_III_00004, 2, 0.034, 0.062, 0.056 | PDLC03649,REase_III_00003, 1, 0, 0.99, 0.776 | PDLC03648,REase_III_00002, 1, 1.1e-05, 0.049, 0.045 | PDLC03648,REase_III_00002, 2, 110, 0.086, 0.075 | PDLC03653,REase_III_00007, 1, 33, 0.046, 0.041 | PDLC03653,REase_III_00007, 2, 0.021, 0.056, 0.051 | PDLC03653,REase_III_00007, 3, 310, 0.056, 0.05","PDLC03649, REase_III_00003, 0, 0.99, 0.776 | PDLC03647, REase_III_00001, 3e-41, 0.746, 0.593 | PDLC03648, REase_III_00002, 1.1e-05, 0.049, 0.045 | PDLC03653, REase_III_00007, 0.021, 0.056, 0.051 | PDLC03650, REase_III_00004, 0.034, 0.062, 0.056"
3,12,RM_type_III,12_45,PDLC03641,MTase_III_00010,MTase_III,0,0,0.997,0.998,49253,51211,-,-,45,146,"PDLC03639,MTase_III_00008, 1, 6.4e-24, 0.323, 0.293 | PDLC03639,MTase_III_00008, 2, 2.6e-20, 0.159, 0.155 | PDLC03642,MTase_III_00011, 1, 7.9e-58, 0.588, 0.672 | PDLC03640,MTase_III_00009, 1, 1.4e-34, 0.27, 0.274 | PDLC03640,MTase_III_00009, 2, 7.4e-29, 0.214, 0.232 | PDLC03637,MTase_III_00006, 1, 6.5e-85, 0.709, 0.877 | PDLC03633,MTase_III_00002, 1, 8.7e-16, 0.277, 0.287 | PDLC03633,MTase_III_00002, 2, 0.00078, 0.058, 0.062 | PDLC03632,MTase_III_00001, 1, 2.8e-09, 0.239, 0.159 | PDLC03632,MTase_III_00001, 2, 23, 0.06, 0.04 | PDLC03636,MTase_III_00005, 1, 3.4e-11, 0.086, 0.097 | PDLC03636,MTase_III_00005, 2, 7.1e-25, 0.165, 0.188 | PDLC03636,MTase_III_00005, 3, 3.3e-15, 0.11, 0.13 | PDLC03636,MTase_III_00005, 4, 930, 0.081, 0.085 | PDLC03644,MTase_III_00013, 1, 1.4e-83, 0.588, 0.71 | PDLC03646,MTase_III_00015, 1, 1e-08, 0.08, 0.049 | PDLC03646,MTase_III_00015, 2, 1.1e-10, 0.127, 0.077 | PDLC03646,MTase_III_00015, 3, 9.7e-15, 0.222, 0.14 | PDLC03634,MTase_III_00003, 1, 4.8e-143, 0.75, 0.792 | PDLC03645,MTase_III_00014, 1, 5.3e-10, 0.19, 0.145 | PDLC03645,MTase_III_00014, 2, 6.6e-12, 0.116, 0.111 | PDLC03641,MTase_III_00010, 1, 0, 0.997, 0.998 | PDLC03638,MTase_III_00007, 1, 2.8e-05, 0.067, 0.055 | PDLC03638,MTase_III_00007, 2, 3.6e-31, 0.375, 0.273 | PDLC03635,MTase_III_00004, 1, 2.2e-13, 0.084, 0.078 | PDLC03635,MTase_III_00004, 2, 1.4e-21, 0.15, 0.141 | PDLC03635,MTase_III_00004, 3, 4.4e-08, 0.121, 0.105 | PDLC03643,MTase_III_00012, 1, 4.1e-69, 0.711, 0.998","PDLC03641, MTase_III_00010, 0, 0.997, 0.998 | PDLC03634, MTase_III_00003, 4.8e-143, 0.75, 0.792 | PDLC03637, MTase_III_00006, 6.5e-85, 0.709, 0.877 | PDLC03644, MTase_III_00013, 1.4e-83, 0.588, 0.71 | PDLC03643, MTase_III_00012, 4.1e-69, 0.711, 0.998"
4,17,3HP,17_126,PDLC03004,Hp1,Hp1,1.1999999999999999e-66,1.3999999999999998e-66,0.915,0.913,122314,123378,+,-,126,144,"PDLC03004,Hp1, 1, 1.4e-66, 0.915, 0.913","PDLC03004, Hp1, 1.4e-66, 0.915, 0.913"
4,17,3HP,17_127,PDLC03005,Hp2,Hp2,7.0999999999999994e-40,8.7e-40,0.98,0.961,123375,124439,+,-,127,144,"PDLC03005,Hp2, 1, 8.7e-40, 0.98, 0.961","PDLC03005, Hp2, 8.7e-40, 0.98, 0.961"
4,17,3HP,17_128,PDLC03006,Hp3,Hp3,8.7e-10,1.1e-9,0.638,0.652,124459,125154,+,-,128,144,"PDLC03006,Hp3, 1, 1.1e-09, 0.638, 0.652","PDLC03006, Hp3, 1.1e-09, 0.638, 0.652"
5,18,PDC-M03,18_99,PDLC04344,PDC-M03A_WP_148311240.1,PDC-M03A,5.499999999999999e-121,6.099999999999998e-121,0.99,0.97,101442,102356,+,-,99,116,"PDLC04344,PDC-M03A_WP_148311240.1, 1, 6.1e-121, 0.99, 0.97 | PDLC04337,PDC-M03A_WP_211959720.1, 1, 7.8e-41, 0.774, 0.956 | PDLC04339,PDC-M03A_WP_143482249.1, 1, 1.5e-12, 0.259, 0.27 | PDLC04339,PDC-M03A_WP_143482249.1, 2, 1.1e-15, 0.505, 0.519 | PDLC04343,PDC-M03A_WP_212367596.1, 1, 9.6e-45, 0.928, 0.741 | PDLC04341,PDC-M03A_WP_089725102.1, 1, 1e-39, 0.698, 0.711 | PDLC04340,PDC-M03A_WP_027723948.1, 1, 1.6e-40, 0.951, 0.929 | PDLC04342,PDC-M03A_WP_095795207.1, 1, 3.6e-70, 0.951, 0.933 | PDLC04345,PDC-M03A_WP_170195461.1, 1, 2.8e-54, 0.954, 0.95 | PDLC04338,PDC-M03A_WP_186572779.1, 1, 1.5e-43, 0.987, 0.706","PDLC04344, PDC-M03A_WP_148311240.1, 6.1e-121, 0.99, 0.97 | PDLC04342, PDC-M03A_WP_095795207.1, 3.6e-70, 0.951, 0.933 | PDLC04345, PDC-M03A_WP_170195461.1, 2.8e-54, 0.954, 0.95 | PDLC04343, PDC-M03A_WP_212367596.1, 9.6e-45, 0.928, 0.741 | PDLC04338, PDC-M03A_WP_186572779.1, 1.5e-43, 0.987, 0.706"
5,18,PDC-M03,18_100,PDLC04347,PDC-M03B_WP_156391106.1,PDC-M03B,3.1999999999999994e-93,3.4999999999999994e-93,0.984,0.98,102353,103093,+,-,100,116,"PDLC04352,PDC-M03B_WP_159721333.1, 1, 1.1e-37, 0.947, 0.944 | PDLC04348,PDC-M03B_WP_214099834.1, 1, 3.5e-67, 0.931, 0.935 | PDLC04346,PDC-M03B_WP_170319402.1, 1, 2.5e-47, 0.789, 0.76 | PDLC04347,PDC-M03B_WP_156391106.1, 1, 3.5e-93, 0.984, 0.98 | PDLC04349,PDC-M03B_WP_127064912.1, 1, 4.4e-33, 0.866, 0.922 | PDLC04350,PDC-M03B_WP_211959721.1, 1, 8.9e-24, 0.842, 0.736 | PDLC04351,PDC-M03B_WP_109690396.1, 1, 6.2e-21, 0.927, 0.898","PDLC04347, PDC-M03B_WP_156391106.1, 3.5e-93, 0.984, 0.98 | PDLC04348, PDC-M03B_WP_214099834.1, 3.5e-67, 0.931, 0.935 | PDLC04346, PDC-M03B_WP_170319402.1, 2.5e-47, 0.789, 0.76 | PDLC04352, PDC-M03B_WP_159721333.1, 1.1e-37, 0.947, 0.944 | PDLC04349, PDC-M03B_WP_127064912.1, 4.4e-33, 0.866, 0.922"
